Entry,Name,Processing condition,,Cluster Number (0 to 11),,Al,Cu,Mn,N,Ni,Ti,S,Fe,Zr,P,Si,V,Mo,Co,C,Nb,B,Cr,,(Ultimate) Tensile strength (MPa),Yield strength (MPa),Ductility (%),,Cluster Number,Cluster label
52,AISI 4140H Steel,"Oil Quenched 845C (1550F), 595C (1100F) Temper, 100 mm (4 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,807,600,21,,6,Quenched (oil) & tempered – high-strength structural steel
53,AISI 4130 Steel,Normalized At 870C (1600F),,4,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,670,435,25,,4,Normalized (air cooled) – general-purpose steel
54,AISI 4140 Steel,"Oil Quenched, 25 mm (1 In.) Round [845C (1550F) Quench, 540C (1000F) Temper]",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,1075,986,15,,6,Quenched (oil) & tempered – high-strength structural steel
55,AISI 4130H Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 100 mm (4 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,703,540,24,,10,Quenched (water) & tempered – high-strength structural steel
56,AISI 4130H Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 50 mm (2 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,786,635,21,,10,Quenched (water) & tempered – high-strength structural steel
57,AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 13.7 mm (0.540 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 800C (1470F) And Oil Quenched, 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.4,0,0.035,0.25,0,0.25,0,0.225,0,0,0,,965,655,15,,0,Carburized – quenched (oil) – wear-resistant surface steel
58,AISI 4140 Steel,"Oil Quenched, 25 mm (1 In.) Round (845C (1550F) Quench, 650C (1200F) Temper)",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,917,841,21,,6,Quenched (oil) & tempered – high-strength structural steel
59,AISI 4140H Steel,"Oil Quenched 845C (1550F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,1090,1025,18,,6,Quenched (oil) & tempered – high-strength structural steel
60,AISI 4140 Steel,"Oil Quenched, 13 mm (0.5 In.) Round [845C (1550F) Quench, 540C (1000F) Temper]",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,1185,1110,15,,6,Quenched (oil) & tempered – high-strength structural steel
61,AISI 4130H Steel,"Water Quenched 855C (1570F), 480C (900F) Temper, 100 mm (4 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,841,655,20,,10,Quenched (water) & tempered – high-strength structural steel
